Operador,Nota,Nota da Org
•Derek Webber,10,9
•Jolene Mcgowan,10,10
•Ellie Glover,10,1
•Bethan Hills,8,8
•Hari Waters,10,10
•Ivor Woodard,10,9
•Jem Davey,10,8
•Owen Ruiz,10,7
•Roman Oconnell,10,5
•Mariyam Mcgill,10,10
•Maciej Maddox,10,9
•Dionne Compton,10,10
•Khaleesi Richmond,10,10
•Mariyam Mcgill,10,5
•Bethan Hills,9,5
•Alexandria Murphy,9,2
•Hari Waters,10,10
•Derek Webber,10,10
•Jolene Mcgowan,10,10
•Bethan Hills,10,10
•Maciej Maddox,10,9
•Hari Waters,10,6
•Kwame Castillo,10,10
•Owen Ruiz,10,8
•Phyllis Barron,10,8
•Jem Davey,10,10
•Khaleesi Richmond,10,4
•Bethan Hills,10,7
•Hari Waters,10,1
•Kwame Castillo,7,6
•Asha Reese,10,2
•Lucie Campbell,10,9
•Hari Waters,10,10
•Kwame Castillo,10,6
•Jem Davey,10,10
•Yara Wright,10,1
•Lucie Campbell,9,5
•Asha Reese,10,10
•Jolene Mcgowan,9,9
•Ivor Woodard,10,10
•Owen Ruiz,10,8
•Ellie Glover,10,10
•Khaleesi Richmond,5,1
•Lucie Campbell,9,8
•Jolene Mcgowan,10,10
•Bethan Hills,9,4
•Yara Wright,9,6
•Maciej Maddox,10,10
•Ellie Glover,10,6
•Lucie Campbell,10,10
¶Ned Hamilton,10,10
•Owen Ruiz,5,1
•Maciej Maddox,10,10
•Khaleesi Richmond,10,10
•Alexandria Murphy,10,10
•Owen Ruiz,9,1
•Alexandria Murphy,10,10
•Maciej Maddox,1,2
•Owen Ruiz,10,7
•Jem Davey,10,9
•Mariyam Mcgill,10,10
•Neha Clemons,10,10
•Neha Clemons,10,10
•Kwame Castillo,10,10
•Lucie Campbell,10,10
•Mariyam Mcgill,10,8
•Hari Waters,10,5
•Hari Waters,9,5
•Alexandria Murphy,10,5
•Lucie Campbell,10,8
•Ivor Woodard,10,7
•Ivor Woodard,10,8
•Dawson Clifford,9,7
•Kwame Castillo,1,5
•Kwame Castillo,6,6
•Jolene Mcgowan,9,9
•Dawson Clifford,10,10
•Kwame Castillo,10,9
•Jolene Mcgowan,10,10
¶Ned Hamilton,9,8
•Jem Davey,10,8
•Jolene Mcgowan,10,10
•Yara Wright,10,7
•Roman Oconnell,10,8
•Ivor Woodard,10,10
•Kwame Castillo,10,8
•Dawson Clifford,5,1
•Mali Whittington,10,9
•Mali Whittington,10,10
•Jolene Mcgowan,10,1
•Hari Waters,10,10
•Lucie Campbell,10,9
•Ivor Woodard,10,5
•Bethan Hills,10,8
•Hari Waters,10,10
•Khaleesi Richmond,10,10
•Leland Atkinson,10,10
•Ivor Woodard,10,6
•Hari Waters,9,10
•Bethan Hills,10,10
•Dawson Clifford,10,5
•Roman Oconnell,10,10
•Owen Ruiz,10,5
•Jolene Mcgowan,8,7
•Lucie Campbell,10,5
•Ivor Woodard,10,7
•Hari Waters,10,10
•Khaleesi Richmond,10,10
•Leland Atkinson,10,10
•Miah Welch,10,6
•Owen Ruiz,4,1
•Ivor Woodard,7,2
•Alexandria Murphy,7,7
•Owen Ruiz,10,5
•Miah Welch,10,10
•Ivor Woodard,10,8
•Lucie Campbell,10,10
•Lucie Campbell,10,10
•Ellie Glover,10,10
•Asha Reese,10,10
•Lucie Campbell,10,10
•Cody Whittle,10,9
•Jem Davey,1,1
•Abdullahi Edwards,10,10
•Amelia-PLily Hayden,10,10
•Asha Reese,10,6
•Mali Whittington,10,10
•Lucie Campbell,10,8
•Roman Oconnell,10,8
•Roman Oconnell,10,6
•Kwame Castillo,10,1
•Khaleesi Richmond,10,10
•Miah Welch,10,10
•Ellie Glover,9,9
•Owen Ruiz,1,1
•Abdullahi Edwards,10,7
•Amelia-PLily Hayden,4,1
¶Sanjay Barnard,10,8
•Asha Reese,10,10
•Kwame Castillo,10,5
•Roman Oconnell,10,10
•Jem Davey,10,10
¶Sanjay Barnard,5,7
•Jem Davey,10,1
•Asha Reese,10,7
•Roman Oconnell,10,8
•Cody Whittle,10,10
•Khaleesi Richmond,10,6
•Roman Oconnell,10,8
•Leland Atkinson,10,10
•Ayse Stevens,9,1
•Khaleesi Richmond,10,10
•Ivor Woodard,10,10
•Leland Atkinson,10,3
•Abdullahi Edwards,10,10
•Cody Whittle,9,7
•Abdullahi Edwards,10,10
•Ellie Glover,1,9
•Asha Reese,10,7
•Alexandria Murphy,10,7
•Amelia-PLily Hayden,9,9
•Mali Whittington,10,4
•Asha Reese,7,1
•Mali Whittington,10,1
•Kwame Castillo,10,10
¶Sanjay Barnard,10,10
•Cody Whittle,10,10
•Kwame Castillo,10,10
•Amelia-PLily Hayden,6,10
•Mali Whittington,10,8
•Miah Welch,10,6
¶Sanjay Barnard,10,4
•Leland Atkinson,10,7
•Khaleesi Richmond,10,7
¶Sanjay Barnard,9,5
•Kwame Castillo,9,9
•Owen Ruiz,10,10
•Cody Whittle,10,10
•Grady Forster,8,7
•Mali Whittington,8,8
•Ayse Stevens,10,9
•Owen Ruiz,10,10
•Amelia-PLily Hayden,10,10
•Charley Bernard,10,5
•Owen Ruiz,2,9
•Miah Welch,1,1
¶Sanjay Barnard,10,10
•Asha Reese,10,10
•Cody Whittle,10,10
•Ella-•Mae Contreras,8,6
•Manal Hewitt,10,10
•Shani Cantu,10,1
•Grady Forster,10,10
¶Briana Hines,10,7
•Owen Ruiz,1,1
•Miah Welch,10,10
•Amarah Douglas,9,5
•Asha Reese,7,5
•Ella-•Mae Contreras,10,8
•Manal Hewitt,5,4
•Dani Ray,9,6
•Rikki Kumar,10,10
•Katherine Stuart,10,10
•Amelia-PLily Hayden,10,10
•Manal Hewitt,10,10
•Abdullahi Edwards,10,10
•Dani Ray,10,9
•Charley Bernard,10,5
•Amarah Douglas,10,10
•Asha Reese,10,10
•Owen Ruiz,10,10
•Grady Forster,10,1
•Manal Hewitt,10,10
•Abdullahi Edwards,7,1
•Umaiza Bullock,10,4
•Dani Ray,10,5
•Mason Donnelly,10,10
•Leland Atkinson,10,8
•Rikki Kumar,10,10
•Cody Whittle,10,10
•Katherine Stuart,10,9
¶Sanjay Barnard,10,1
¶Briana Hines,10,7
•Asha Reese,10,10
•Grady Forster,10,3
•Dani Ray,1,1
•Charley Bernard,10,10
¶Sanjay Barnard,10,9
•Amarah Douglas,10,10
•Asha Reese,10,5
•Abdullahi Edwards,10,5
•Kwame Castillo,10,10
•Mali Whittington,10,8
¶Abbey Hodge,10,10
•Grady Forster,10,4
•Kwame Castillo,10,8
•Charley Bernard,10,10
•Shani Cantu,10,10
•Grady Forster,10,9
•Kwame Castillo,10,10
•Charley Bernard,10,9
•Amelia-PLily Hayden,10,10
•Amarah Douglas,10,10
•Mali Whittington,10,10
•Alanah Fowler,10,9
•Shani Cantu,10,5
•Grady Forster,10,10
•Kwame Castillo,10,10
•Umaiza Bullock,10,10
¶Sanjay Barnard,7,2
•Miah Welch,10,10
•Shani Cantu,10,10
•Ella-•Mae Contreras,10,10
•Ayse Stevens,10,8
•Abdullahi Edwards,10,6
•Umaiza Bullock,10,9
•Amelia-PLily Hayden,10,9
•Alanah Fowler,9,10
•Umaiza Bullock,10,1
•Manal Hewitt,10,4
•Amelia-PLily Hayden,10,6
•Ella-•Mae Contreras,10,10
•Katherine Stuart,1,1
•Katherine Stuart,10,10
•Amarah Douglas,9,2
•Umaiza Bullock,10,8
•Shani Cantu,9,9
•Kwame Castillo,10,9
•Charley Bernard,10,3
¶Sanjay Barnard,10,8
¶Abbey Hodge,1,1
•Dani Ray,10,1
•Grady Forster,10,10
¶Briana Hines,10,5
•Mason Donnelly,10,4
•Charley Bernard,10,10
•Dani Ray,6,1
•Grady Forster,10,10
•Ayse Stevens,8,5
•Kwame Castillo,10,10
•Dani Ray,4,7
•Ella-•Mae Contreras,10,6
•Grady Forster,9,8
•Umaiza Bullock,10,7
¶Abbey Hodge,10,5
•Amarah Douglas,10,10
•Dani Ray,8,8
•Manal Hewitt,10,10
•Ella-•Mae Contreras,10,10
•Umaiza Bullock,8,8
•Charley Bernard,2,1
•Rikki Kumar,10,10
•Ella-•Mae Contreras,10,9
•Shani Cantu,10,9
•Ella-•Mae Contreras,1,1
•Charley Bernard,10,6
•Amarah Douglas,10,8
•Katherine Stuart,6,2
•Alanah Fowler,10,10
•Alanah Fowler,10,10
•Alanah Fowler,10,1
•Shani Cantu,10,10
•Rikki Kumar,10,5
•Shani Cantu,9,10
•Katherine Stuart,10,10
•Alanah Fowler,10,3
•Ella-•Mae Contreras,10,7
•Ella-•Mae Contreras,10,10
•Grady Forster,10,3
•Umaiza Bullock,10,10
•Charley Bernard,10,10
•Grady Forster,10,6
•Umaiza Bullock,10,10
•Mason Donnelly,10,10
•Charley Bernard,10,10
•Amarah Douglas,10,7
•Ella-•Mae Contreras,10,10
•Charley Bernard,10,10
•Amarah Douglas,10,10
•Rikki Kumar,10,10
•Charley Bernard,10,10
•Manal Hewitt,10,6
•Dani Ray,4,1
•Amarah Douglas,10,10
•Dani Ray,10,5
•Mason Donnelly,9,9
•Amarah Douglas,1,1
•Shani Cantu,10,7
•Rikki Kumar,10,5
•Shani Cantu,10,9
•Grady Forster,10,6
•Grady Forster,10,5
•Amarah Douglas,10,2
•Rikki Kumar,10,8
•Shani Cantu,10,10
•Dani Ray,10,10
•Umaiza Bullock,1,1
•Amarah Douglas,10,10
•Manal Hewitt,10,5
•Rajveer Paine,10,8
•Dani Ray,10,3
•Rose Calderon,10,4
•Rajveer Paine,10,10
•Rajveer Paine,10,10
•Rajveer Paine,1,1
•Rajveer Paine,10,10
•Rajveer Paine,10,8
•Rajveer Paine,10,5
•Rose Calderon,10,10
•Rose Calderon,10,4
•Rajveer Paine,1,1
•Rajveer Paine,10,10
•Rajveer Paine,10,10
•Rajveer Paine,10,8
•Rajveer Paine,10,8
•Rajveer Paine,10,10
•Rose Calderon,10,3
•Rose Calderon,10,10
•Rose Calderon,10,10
•Rose Calderon,8,7
•Rose Calderon,10,10
•Rose Calderon,10,9
•Rajveer Paine,10,10
•Rajveer Paine,10,10
•Rajveer Paine,10,6
•Rajveer Paine,10,5
•Rose Calderon,10,10
•Rose Calderon,10,10
•Rose Calderon,10,10
•Rajveer Paine,10,10
•Rajveer Paine,10,10
•Desiree Reynolds,10,10
•Desiree Reynolds,10,10
•Desiree Reynolds,9,8
•Adelaide Stafford,10,8
•Lily Conway,10,10
•Desiree Reynolds,10,9
•Lleyton Parkinson,9,9
•Jem Davey,10,10
•Lleyton Parkinson,8,1
•Phyllis Barron,10,10
•Lleyton Parkinson,10,8
¶Poppie Moses,10,6
•Phyllis Barron,1,1
¶Poppie Moses,10,10
•Adelaide Stafford,10,1
•Owen Ruiz,10,7
•Maciej Maddox,10,10
•Suzannah Stephenson,10,5
•Jolie Hodson,10,7
¶Poppie Moses,10,4
•Mea Lee,10,8
•Suzannah Stephenson,10,10
•Taliyah Soto,10,7
¶Poppie Moses,10,8
•Jem Davey,10,1
•Adelaide Stafford,10,10
¶Poppie Moses,10,10
•Phyllis Barron,10,1
•Mea Lee,7,7
•Suzannah Stephenson,10,5
•Tasnia Sharma,10,10
•Owen Ruiz,10,10
•Mea Lee,10,8
•Braxton Cuevas,10,10
•Suzannah Stephenson,10,10
•Taliyah Soto,10,10
•Adelaide Stafford,10,9
•Cody Whittle,10,7
¶Poppie Moses,8,6
•Braxton Cuevas,10,9
•Suzannah Stephenson,10,10
•Adelaide Stafford,10,7
•Cody Whittle,10,9
•Phyllis Barron,10,9
•Lily Conway,10,10
•Braxton Cuevas,10,5
•Desiree Reynolds,10,6
•Jem Davey,10,9
•Todd Wooten,10,8
•Maciej Maddox,10,5
•Tasnia Sharma,10,10
•Phyllis Barron,9,6
•Lily Conway,8,5
•Suzannah Stephenson,8,7
•Jem Davey,9,8
•Braxton Cuevas,9,2
•Maciej Maddox,10,10
•Lleyton Parkinson,10,5
•Alexandria Murphy,10,10
•Suzannah Stephenson,10,10
¶Poppie Moses,10,6
•Tasnia Sharma,10,1
•Suzannah Stephenson,1,1
•Alexandria Murphy,10,7
•Cody Whittle,10,5
•Mea Lee,10,10
•Lleyton Parkinson,8,7
•Jem Davey,1,1
¶Poppie Moses,10,7
•Adelaide Stafford,10,8
•Owen Ruiz,10,10
•Suzannah Stephenson,10,3
•Lleyton Parkinson,10,10
•Jem Davey,10,7
•Adelaide Stafford,10,4
•Lily Conway,10,5
•Lennox Fleming,10,1
•Brodie O'Brien,10,2
•Jolene Mcgowan,10,10
•Desiree Reynolds,10,8
•Trinity Alvarado,10,3
•Phyllis Barron,10,7
•Taliyah Soto,8,2
•Adelaide Stafford,10,4
•Brodie O'Brien,10,10
¶Poppie Moses,8,6
•Mea Lee,10,10
•Lleyton Parkinson,10,1
•Trinity Alvarado,10,8
•Phyllis Barron,1,1
•Lennox Fleming,10,4
•Todd Wooten,10,10
•Owen Ruiz,10,8
•Braxton Cuevas,10,5
•Cody Whittle,10,1
•Trinity Alvarado,10,1
•Taliyah Soto,5,4
•Maciej Maddox,10,10
•Alexandria Murphy,10,7
•Cody Whittle,10,10
•Mea Lee,9,7
•Lennox Fleming,10,1
•Todd Wooten,10,10
•Adelaide Stafford,10,8
•Owen Ruiz,10,5
•Alexandria Murphy,10,10
•Lleyton Parkinson,10,10
•Brodie O'Brien,10,6
•Jolene Mcgowan,10,8
•Mea Lee,10,7
•Jolie Hodson,10,10
•Szymon Mcdougall,10,8
•Tasnia Sharma,9,9
•Jolie Hodson,10,10
•Jolene Mcgowan,10,9
•Tasnia Sharma,10,5
•Braxton Cuevas,6,8
•Jem Davey,10,9
•Miah Welch,10,10
•Taliyah Soto,10,5
•Brodie O'Brien,10,10
•Mea Lee,10,10
•Owen Ruiz,10,10
•Szymon Mcdougall,10,10
•Todd Wooten,10,10
•Christina Mcintyre,10,1
•Georgie Wicks,10,8
•Brodie O'Brien,10,10
•Owen Ruiz,10,10
•Cody Whittle,9,1
¶Ammaar Terrell,8,8
•Szymon Mcdougall,10,1
•Conrad Haney,10,6
•Taliyah Soto,10,6
•Owen Ruiz,10,10
•Tasnia Sharma,5,5
•Szymon Mcdougall,10,5
•Miah Welch,10,4
•Cruz Horton,10,5
•Jolene Mcgowan,10,10
•Todd Wooten,10,5
•Szymon Mcdougall,10,10
•Georgie Wicks,10,10
•Cruz Horton,8,1
•Suzannah Stephenson,9,9
•Jolene Mcgowan,10,9
•Jem Davey,10,10
¶Sanjay Barnard,10,10
•Georgie Wicks,1,1
•Cody Whittle,10,5
•Taliyah Soto,10,7
•Conrad Haney,3,1
•Suzannah Stephenson,10,1
•Alexandria Murphy,5,1
•Owen Ruiz,1,5
¶Ammaar Terrell,10,10
•Taliyah Soto,10,10
•Cruz Horton,10,7
•Ayse Stevens,10,10
•Miah Welch,10,8
•Conrad Haney,10,10
•Szymon Mcdougall,10,9
•Jem Davey,10,1
•Szymon Mcdougall,1,1
¶Sanjay Barnard,10,10
•Taliyah Soto,10,10
•Kane Mac,10,9
•Conrad Haney,10,6
•Taliyah Soto,7,7
•Ayse Stevens,9,5
•Cruz Horton,10,7
•Conrad Haney,10,5
•Taliyah Soto,10,9
•Ayse Stevens,9,7
•Kane Mac,10,8
•Lennox Fleming,5,4
•Miah Welch,7,9
•Pheobe Bevan,10,10
•Kane Mac,10,10
•Alexandria Murphy,9,8
•Pheobe Bevan,10,10
•Suzannah Stephenson,10,10
•Taliyah Soto,10,10
•Conrad Haney,10,3
•Kane Mac,9,5
•Georgie Wicks,10,10
•Miah Welch,10,10
¶Sanjay Barnard,10,5
•Jem Davey,10,10
•Owen Ruiz,10,4
•Cristiano Bender,10,10
•Cristiano Bender,10,8
•Georgie Wicks,10,10
¶Sanjay Barnard,10,2
•Miah Welch,10,10
•Georgie Wicks,8,4
•Miah Welch,10,5
•Cruz Horton,1,1
•Taliyah Soto,10,10
•Cerys Rhodes,10,1
•Georgie Wicks,8,6
•Kane Mac,10,10
•Cruz Horton,10,1
¶Briana Hines,10,1
•Cruz Horton,10,1
•Rikki Kumar,10,10
•Szymon Mcdougall,10,10
•Murray Obrien,10,5
•Cristiano Bender,10,1
¶Sanjay Barnard,10,10
•Rikki Kumar,9,8
•Taliyah Soto,10,10
•Murray Obrien,10,5
•Georgie Wicks,10,10
•Cruz Horton,10,8
¶Briana Hines,7,7
•Owen Ruiz,10,7
•Rikki Kumar,10,5
•Ella-•Mae Contreras,10,9
•Ayse Stevens,10,9
•Suzannah Stephenson,10,3
•Murray Obrien,10,8
•Bronwen Winter,10,10
•Manal Hewitt,10,8
•Cerys Rhodes,10,10
•Conrad Haney,10,3
•Rikki Kumar,10,8
•Ella-•Mae Contreras,10,7
•Kane Mac,10,10
•Szymon Mcdougall,7,1
•Murray Obrien,10,6
•Ella-•Mae Contreras,10,10
•Pheobe Bevan,10,10
•Kane Mac,5,1
•Szymon Mcdougall,9,9
•Ayse Stevens,10,10
•Suzannah Stephenson,10,5
•Lorelai Mora,10,7
•Pheobe Bevan,10,10
•Mariana Ware,10,5
•Katherine Stuart,10,8
•Ella-•Mae Contreras,10,5
•Bronwen Winter,10,10
•Manal Hewitt,8,8
•Katherine Stuart,9,9
•Mariana Ware,10,10
•Lorelai Mora,10,5
¶Briana Hines,10,10
•Suzannah Stephenson,10,10
•Ayse Stevens,10,3
•Jem Davey,10,8
•Mariana Ware,10,10
•Katherine Stuart,10,7
•Lorelai Mora,10,9
•Cerys Rhodes,10,10
•Cruz Horton,10,10
•Szymon Mcdougall,10,8
•Bronwen Winter,10,10
•Grady Forster,1,1
•Mariana Ware,1,1
•Taliyah Soto,9,6
•Szymon Mcdougall,7,1
•Conrad Haney,10,10
•Dani Ray,10,8
•Mariana Ware,1,1
•Cerys Rhodes,10,10
•Katherine Stuart,10,10
•Kane Mac,10,10
•Katherine Stuart,8,5
•Rikki Kumar,10,10
•Cristiano Bender,1,1
•Manal Hewitt,10,10
•Katherine Stuart,10,10
•Kane Mac,10,1
•Szymon Mcdougall,8,1
•Owen Ruiz,10,10
•Rikki Kumar,9,10
•Cruz Horton,5,2
•Kane Mac,1,1
•Manal Hewitt,10,8
•Kane Mac,5,1
•Cristiano Bender,10,10
•Ella-•Mae Contreras,2,2
•Manal Hewitt,1,1
•Taliyah Soto,7,3
•Ella-•Mae Contreras,10,6
¶Briana Hines,1,2
•Suzannah Stephenson,10,10
•Mariana Ware,10,10
•Conrad Haney,1,1
•Cristiano Bender,6,6
•Pheobe Bevan,10,5
•Suzannah Stephenson,10,8
•Bronwen Winter,1,1
¶Briana Hines,10,5
•Ella-•Mae Contreras,10,10
•Manal Hewitt,10,4
•Owen Ruiz,5,5
•Katherine Stuart,10,5
•Lorelai Mora,9,1
•Ella-•Mae Contreras,10,8
•Lorelai Mora,10,3
•Mariana Ware,10,10
•Lorelai Mora,10,4
•Mariana Ware,10,10
•Grady Forster,1,4
•Ella-•Mae Contreras,10,8
•Mariana Ware,10,6
¶Briana Hines,10,7
•Manal Hewitt,10,7
•Lorelai Mora,1,1
•Cerys Rhodes,10,7
•Cydney Drake,10,5
•Dani Ray,10,4
•Katherine Stuart,10,10
•Bronwen Winter,10,3
•Manal Hewitt,10,6
•Mariana Ware,10,5
•Rikki Kumar,10,8
•Grady Forster,10,10
•Cydney Drake,10,10
•Bronwen Winter,10,5
•Manal Hewitt,10,6
•Jake Cote,10,6
•Rajveer Paine,10,9
•Jake Cote,10,9
•Manal Hewitt,10,3
•Dani Ray,10,5
•Rajveer Paine,10,10
•Rikki Kumar,10,8
•Lorelai Mora,10,10
•Bronwen Winter,9,8
•Rajveer Paine,10,5
•Katherine Stuart,7,7
•Cydney Drake,10,8
•Jake Cote,1,1
•Rajveer Paine,10,10
•Cydney Drake,10,8
¶Briana Hines,10,5
•Rajveer Paine,10,9
•Rikki Kumar,10,10
•Grady Forster,10,6
•Dani Ray,10,10
•Rajveer Paine,10,10
•Rikki Kumar,8,8
•Mariana Ware,10,5
•Jake Cote,10,2
•Jake Cote,4,1
•Rikki Kumar,1,1
•Dani Ray,10,5
•Rikki Kumar,10,10
•Mariana Ware,10,5
•Rajveer Paine,2,2
•Lorelai Mora,10,5
¶Briana Hines,10,8
¶Briana Hines,10,3
•Cydney Drake,4,1
•Rajveer Paine,10,10
•Rajveer Paine,1,1
•Rojin Woodcock,10,1
•Rojin Woodcock,9,6
•Rojin Woodcock,10,5
•Rose Calderon,10,10
•Rajveer Paine,10,6
•Jake Cote,10,10
•Rajveer Paine,10,10
•Cydney Drake,10,4
•Rose Calderon,10,10
•Rojin Woodcock,8,4
•Rose Calderon,1,1
•Cydney Drake,10,10
•Jake Cote,10,10
•Cydney Drake,10,1
•Jake Cote,10,10
•Jake Cote,10,3
•Rose Calderon,10,1
•Rose Calderon,1,1
•Rajveer Paine,1,1
•Cydney Drake,10,4
•Jake Cote,10,10
•Rajveer Paine,10,6
•Rajveer Paine,10,5
•Rojin Woodcock,1,1
•Rajveer Paine,10,8
•Cydney Drake,9,7
•Jake Cote,10,5
•Rojin Woodcock,9,6
•Jake Cote,10,10
•Jake Cote,10,10
•Rojin Woodcock,10,10
•Jake Cote,10,8
•Cydney Drake,10,10
•Cydney Drake,10,10
•Rojin Woodcock,10,5
•Rajveer Paine,10,10
•Cydney Drake,10,10
•Jake Cote,10,10
•Rojin Woodcock,10,4
•Cydney Drake,1,1
•Cydney Drake,1,1
•Jake Cote,10,10
•Phyllis Barron,1,1
•Phyllis Barron,10,3
•Christina Mcintyre,10,9
•Christina Mcintyre,10,10
•Trinity Alvarado,10,9
•Trinity Alvarado,7,5
•Desiree Reynolds,10,10
•Desiree Reynolds,10,10
•Bethan Hills,10,10
•Christina Mcintyre,10,7
•Mali Whittington,10,8
•Mariyam Mcgill,10,10
•Braxton Cuevas,9,3
•Bethan Hills,10,10
•Harleigh Stone,10,7
•Phyllis Barron,9,9
•Mariyam Mcgill,10,10
•Lleyton Parkinson,10,10
•Mea Lee,10,5
•Bethan Hills,10,10
•Maciej Maddox,10,1
•Yara Wright,7,1
•Neha Clemons,10,10
•Lily Conway,10,7
•Desiree Reynolds,10,1
•Mea Lee,10,2
•Jolie Hodson,10,10
•Neha Clemons,9,7
•Lily Conway,10,10
•Phyllis Barron,10,10
•Harleigh Stone,10,8
•Adelaide Stafford,10,9
•Lleyton Parkinson,10,5
•Mali Whittington,10,10
•Yara Wright,10,10
•Trinity Alvarado,10,10
•Lily Conway,10,10
•Harleigh Stone,10,10
¶Poppie Moses,8,3
•Christina Mcintyre,10,1
•Derek Webber,10,10
•Lleyton Parkinson,6,1
•Dionne Compton,10,9
•Dawson Clifford,10,10
•Jolie Hodson,1,1
•Mali Whittington,10,10
•Desiree Reynolds,8,7
•Yara Wright,10,10
•Adelaide Stafford,10,10
•Christina Mcintyre,10,10
•Mariyam Mcgill,10,5
•Derek Webber,10,10
¶Ned Hamilton,10,7
•Mea Lee,10,10
•Jem Davey,10,10
•Yara Wright,10,1
•Phyllis Barron,10,10
•Harleigh Stone,10,10
•Christina Mcintyre,10,10
•Bethan Hills,6,8
•Dionne Compton,10,10
•Cody Whittle,1,1
•Jolie Hodson,10,5
•Mea Lee,10,8
•Yara Wright,10,10
•Derek Webber,10,10
•Bethan Hills,10,10
•Mali Whittington,10,7
•Desiree Reynolds,10,10
•Jolene Mcgowan,7,1
•Brodie O'Brien,10,5
¶Poppie Moses,10,6
•Kwame Castillo,10,10
•Szymon Mcdougall,10,10
•Dionne Compton,10,10
•Cody Whittle,10,8
•Jolie Hodson,10,10
•Mea Lee,10,9
•Jem Davey,10,10
•Brodie O'Brien,10,10
•Mariyam Mcgill,10,9
•Derek Webber,10,9
•Ivor Woodard,10,10
•Alexandria Murphy,10,9
¶Poppie Moses,1,1
•Desiree Reynolds,10,10
•Neha Clemons,7,1
•Jem Davey,10,5
•Mali Whittington,10,10
•Brodie O'Brien,10,10
•Hari Waters,10,10
•Phyllis Barron,1,1
•Lleyton Parkinson,10,10
•Christina Mcintyre,10,5
•Mariyam Mcgill,9,8
•Harleigh Stone,10,10
•Adelaide Stafford,10,10
•Todd Wooten,8,4
¶Ned Hamilton,10,5
•Mea Lee,9,4
•Mali Whittington,10,10
•Tasnia Sharma,10,5
•Phyllis Barron,10,10
•Mariyam Mcgill,10,5
•Roman Oconnell,10,10
•Adelaide Stafford,10,4
•Ivor Woodard,4,1
•Alexandria Murphy,9,8
•Taliyah Soto,10,5
•Dionne Compton,10,10
•Szymon Mcdougall,10,7
•Mea Lee,10,5
•Bethan Hills,10,10
•Cody Whittle,5,3
•Lleyton Parkinson,10,10
•Mariyam Mcgill,10,10
•Todd Wooten,10,10
•Lily Conway,10,10
•Neha Clemons,9,10
•Szymon Mcdougall,10,1
•Jolie Hodson,10,10
•Christina Mcintyre,9,8
•Yara Wright,8,3
•Cody Whittle,10,5
•Hari Waters,10,10
•Lleyton Parkinson,9,7
•Harleigh Stone,10,7
•Trinity Alvarado,10,10
•Alexandria Murphy,3,1
•Taliyah Soto,10,10
•Desiree Reynolds,10,2
•Tasnia Sharma,10,10
•Bethan Hills,1,1
•Cody Whittle,10,1
¶Brayden Farrow,10,5
•Lleyton Parkinson,10,8
•Mariyam Mcgill,10,5
•Harleigh Stone,10,7
•Lennox Fleming,10,7
•Todd Wooten,10,5
•Maciej Maddox,10,10
•Desiree Reynolds,10,6
•Simon Woods,10,10
•Dionne Compton,10,10
•Brodie O'Brien,10,1
•Ellie Glover,5,2
•Braxton Cuevas,9,8
•Szymon Mcdougall,10,8
